link,title,address,description,price,price_for_square,publish_date,area,rooms,floor,total_floors,town
https://realty.yandex.ru/offer/6558445219775253903/,80 м² · 3-комнатная квартира · 4 этаж из 9,"Спортивная улица, 3",Добрый день! Продаем ТРЕХ-комнатную квартиру в КИРПИЧНОМ доме с ЧИСТОЙ юридической историей и КОМФОРТНОЙ ПЛАНИРОВКОЙ. ! Квартира продается БЕЗ КОМИССИИ ! Фотографии и описание соответствуют действительности. Безопасно и с удовольствием юридически,8149999,101,4 часа назад,80.0,3,4,9,samara
https://realty.yandex.ru/offer/8283442277044809382/,"44,3 м² · 1-комнатная квартира · 5 этаж из 19","Южное шоссе
ЖК «АМГРАД», 2 квартал 2027","Эта уютная однокомнатная квартира евроформата обладает продуманной планировкой, позволяющей максимально эффективно использовать каждый сантиметр пространства. Здесь созданы все условия для комфортной и функциональной жизни. Совмещённый санузел",5588600,126,4 часа назад,44.3,1,5,19,samara
https://realty.yandex.ru/offer/8055033592557875187/,45 м² · 1-комнатная квартира · 15 этаж из 19,"7-я просека, 94",Добрый день! Продаем ОДНО-комнатную квартиру в МОНОЛИТНОМ доме с ЧИСТОЙ юридической историей и КОМФОРТНОЙ ПЛАНИРОВКОЙ. ! Квартира продается БЕЗ КОМИССИИ ! Фотографии и описание соответствуют действительности. Безопасно и с удовольствием юридически,5699999,126,4 часа назад,45.0,1,15,19,samara
https://realty.yandex.ru/offer/4878538103731763239/,"36,6 м² · 1-комнатная квартира · 14 этаж из 19","Южное шоссе
ЖК «АМГРАД», 2 квартал 2027","Однокомнатная квартира с евро-планировкой, где каждый квадратный метр продуман до мелочей. Просторная кухня-гостиная позволяет функционально разделить зоны для приготовления еды и проведения досуга. Из этой зоны есть выход на лоджию, с которой",4761200,129,4 часа назад,36.6,1,14,19,samara
https://realty.yandex.ru/offer/792470468985470465/,"44,9 м² · 2-комнатная квартира · 1 этаж из 9","проспект Карла Маркса, 250","Продается уютная светлая евродвушка в спокойном спальном районе! Эта замечательная квартира обрамлена зелеными насаждениями, окна выходят на красивые цветущие деревья, придавая вам ощущение комфорта и уюта. Основные характеристики: - Просторная",6400000,142,5 часов назад,44.9,2,1,9,samara
https://realty.yandex.ru/offer/779789976244109018/,"58,2 м² · 2-комнатная квартира · 2 этаж из 24","Южное шоссе
ЖК «АМГРАД», 2 квартал 2025","Умная планировка АМГРАД. Эта эргономичная 2-комнатная квартира с функционалом 3-комнатной подойдет для семей с детьми любого возраста. Здесь две отдельные спальни и кухня-гостиная, что позволяет организовать жизнь по собственному сценарию. Детскую",8585300,147,5 часов назад,58.2,2,2,24,samara
https://realty.yandex.ru/offer/5198563984920037633/,210 м² · 5-комнатная квартира · 19 этаж из 19,"5-я просека, 113
ЖК «Изумрудный»","Эксклюзивное предложение!!!Пентхаус на пятой просеке. Своя веранда 45 м2 с видом на Волгу и Жигулевские горы.Хаммам, 3 санузла. На этаже 2 квартиры. Видеонаблюдение. В помощи риелторов не нуждаемся",40000000,190,8 часов назад,210.0,5,19,19,samara
https://realty.yandex.ru/offer/6987916179676254877/,"42,8 м² · 1-комнатная квартира · 10 этаж из 24","Южное шоссе
ЖК «АМГРАД», 2 квартал 2025",Умная планировка АМГРАД. 1-комнатная квартира повышенной комфортности. Благодаря увеличенной площади и 13-метровой кухне-гостиной она имеет функционал 2-комнатной и будет комфортна для проживания молодой семьи. Жилая комната правильной формы,5765200,134,5 часов назад,42.8,1,10,24,samara
https://realty.yandex.ru/offer/3599286729151045377/,"54,4 м² · 2-комнатная квартира · 5 этаж из 9","улица Стара-Загора, 285","СРОЧНО продаю уютную 2x комнaтную кваpтиpу 54,4 кв.м на 5/9 эт кирпичного дoма нa ул Стара Загора, 285. Кирпичный дoм улучшeнной планиpoвки. Oчeнь теплая квартира, функциoнальная планировкa - бабочка: кухня между комнатами. Рaздельныe кoмнаты - 18,6",5800000,106,3 часа назад,54.4,2,5,9,samara
https://realty.yandex.ru/offer/4872214570266913497/,"56,6 м² · 2-комнатная квартира · 18 этаж из 24","Южное шоссе
ЖК «АМГРАД», 2 квартал 2025","Умная планировка АМГРАД. Эта эргономичная 2-комнатная квартира с функционалом 3-комнатной подойдет для семей с детьми любого возраста. Для вашего комфорта предусмотрены две раздельные жилые комнаты и кухня-гостиная, что позволяет организовать жизнь",7673600,135,4 часа назад,56.6,2,18,24,samara
